A;003;20020102 13:56;PTHIRLWELL;
D;003;34288;68;20020102 13:56;V;;;;;;
B;003;34622;69;20020102 13:56;;;43;BRADYS GULLY RD;NORTH GOSFORD;2250;550.1;M;20011114;20011207;145000;A;R;RESIDENCE;;FC;;;8194988;
C;003;34622;69;20020102 13:56;25//30111;
D;003;34622;69;20020102 13:56;P;;;;;;
D;003;34622;69;20020102 13:56;V;;;;;;
B;003;34653;70;20020102 13:56;;;74;BRADYS GULLY RD;NORTH GOSFORD;2250;975.4;M;20011009;20011120;249000;A;R;RESIDENCE;;FC;AC;;8157360;
C;003;34653;70;20020102 13:56;31//611954;
D;003;34653;70;20020102 13:56;P;;;;;;
D;003;34653;70;20020102 13:56;V;;;;;;
B;003;34731;71;20020102 13:56;;;15;BRANCOURT CRES;NARARA;2250;720.8;M;20011004;20011108;250000;A;R;RESIDENCE;;GK;AC;;8159612;
C;003;34731;71;20020102 13:56;15//242245;
D;003;34731;71;20020102 13:56;P;;;;;;
D;003;34731;71;20020102 13:56;V;;;;;;
B;003;34783;72;20020102 13:56;;;28;BRANGA AVE;COPACABANA;2251;543.8;M;20010925;20011130;322000;A;R;RESIDENCE;;GD;AC;;8168619;
C;003;34783;72;20020102 13:56;7//237999;
D;003;34783;72;20020102 13:56;P;;;;;;
D;003;34783;72;20020102 13:56;P;;;;;;
D;003;34783;72;20020102 13:56;V;;;;;;
D;003;34783;72;20020102 13:56;V;;;;;;
B;003;34833;73;20020102 13:56;;;1;BREAM RD;ETTALONG BEACH;2257;581.7;M;20011026;20011206;227000;A;V;VACANT LAND;;MA;;;8184073;
C;003;34833;73;20020102 13:56;1//505161;
D;003;34833;73;20020102 13:56;P;;;;;;
D;003;34833;73;20020102 13:56;V;;;;;;
B;003;35124;74;20020102 13:56;;;12;BRIE CL;LISAROW;2250;730.2;M;20010921;20011123;346000;A;R;RESIDENCE;;GM;AC;;8160212;
C;003;35124;74;20020102 13:56;28//825943;
D;003;35124;74;20020102 13:56;P;;;;;;
D;003;35124;74;20020102 13:56;P;;;;;;
D;003;35124;74;20020102 13:56;V;;;;;;
B;003;35669;75;20020102 13:56;;;18;BRITANNIA ST;UMINA;2257;499.5;M;20011207;20011214;224000;A;R;RESIDENCE;;MA;;;8214241;
C;003;35669;75;20020102 13:56;107//9264;
D;003;35669;75;20020102 13:56;P;;;;;;
D;003;35669;75;20020102 13:56;V;;;;;;
D;003;35669;75;20020102 13:56;V;;;;;;
B;003;36240;76;20020102 13:56;;;91;BRONZEWING DR;ERINA;2250;509;M;20011024;20011205;142000;A;3;;;GU;AV;;8191993;
C;003;36240;76;20020102 13:56;142//835391;
D;003;36240;76;20020102 13:56;P;;;;;;
D;003;36240;76;20020102 13:56;P;;;;;;
D;003;36240;76;20020102 13:56;V;;;;;;
D;003;36240;76;20020102 13:56;V;;;;;;
